LAKE,AREA_NAME,HAB_TYPE,HAB_DESC,LAT,LONG,DEPTH_FT,MARKED,BANK_ACC,DATE_INST
Brushy,West side camping area,Brush Pile,3 large cedars,35.54181,-94.81966,11,N,Y,2/5/2021
Burtschi,North of East Ramp,Brush Pile, ,34.96814,-98.06525,0,N, ,<Null>
Burtschi,Roadside,Brush Pile, ,34.96913,-98.07506,0,N, ,<Null>
Burtschi,Southeast of West Ramp,Brush Pile, ,34.9665,-98.06316,0,N, ,<Null>
Burtschi,South Shore,Brush Pile, ,34.966,-98.06903,0,N, ,<Null>
Burtschi,Dam,Brush Pile, ,34.96534,-98.06315,0,Y, ,<Null>
Burtschi,South Boat Ramp,Gravel Pile,Jetti,34.967614,-98.073153,0, , ,<Null>
Burtschi,Northwest Corner of Bridge,Brush Pile,Hardwood,34.970347,-98.075569,0,N,Y,7/9/2017
Canton,Canadian,Brush Pile,cedar trees,36.093333,-98.606667,8,Y,Y,12/28/2016
Canton,Big Ben,Brush Pile,cedar trees,36.119444,-98.613611,8,Y,Y,12/28/2016
Canton,Canidian  Handicap pier,Brush Pile,cedar trees,36.091111,-98.605278,8,Y,Y,12/28/2016
Canton,dam south pullout,Brush Pile,cedar trees,36.0875,-98.594444,12,Y,Y,12/28/2016
Canton,dam middle pullout,Brush Pile,cedar trees,36.091944,-98.585833,12,Y,Y,12/28/2016
Canton,dam north pullout,Brush Pile,cedar trees,36.096111,-98.578333,12,Y,Y,12/28/2016
Canton Reservoir,Indian Cove,Brush Pile, ,36.085583,-98.600967,4,N,Y,<Null>
Canton Reservoir,1st Jetty East,Brush Pile, ,36.086833,-98.593883,6,N,Y,<Null>
Canton Reservoir,Rock Jetty,Brush Pile, ,36.0887,-98.589667,6,N,Y,<Null>
Canton Reservoir,Walleye Shed,Brush Pile, ,36.090667,-98.605167,6,N,Y,<Null>
Canton Reservoir,Cantonment Point,Brush Pile, ,36.091283,-98.606683,6,N,Y,<Null>
Canton Reservoir,Indian Cove,Brush Pile, ,36.092333,-98.611583,6,N,N,<Null>
Canton Reservoir,3rd Jetty East,Brush Pile, ,36.095933,-98.577733,6,N,Y,<Null>
Canton Reservoir,Middle Jetty East,Brush Pile, ,36.091233,-98.585767,7,N,Y,<Null>
Canton Reservoir,Canadian No Wake Buoy,Brush Pile, ,36.085067,-98.605583,8,Y,N,<Null>
Canton Reservoir,1st Jetty West,Brush Pile, ,36.086233,-98.59465,10,N,Y,<Null>
Canton Reservoir,Canadian Park Area,Brush Pile, ,36.090067,-98.605933,10,N,Y,<Null>
Canton Reservoir,Middle Jetty West,Brush Pile, ,36.091233,-98.586517,10,N,Y,<Null>
Canton Reservoir,3rd Jetty West,Brush Pile, ,36.095333,-98.578483,10,N,Y,<Null>
Canton Reservoir,Red Bluff Cove,Brush Pile, ,36.10235,-98.61275,10,N,N,<Null>
Carl Albert,C Albert BR 1,Brush Pile, ,34.768611,-95.072222,0,Y,Y,12/8/2021
Carl Albert,C Albert BR 2,Brush Pile, ,34.774722,-95.068333,0,Y,Y,12/8/2021
Carl Blackwell,New Ramp Cove,Spider Blocks, ,36.1305,-97.2072,5,N,Y,1/1/2010
Carl Blackwell,Highway 51C Rip-Rap,Spider Blocks, ,36.1152,-97.2086,6,N,Y,1/1/2010
Carl Blackwell,Cabin Cove,Spider Blocks, ,36.1313,-97.2115,6,N,Y,1/1/2010
Carlton,Carlton Brush 3,Brush Pile, ,34.976667,-95.3625,0,N,N,1/16/2021
Carlton,Carlton Brush 1,Brush Pile, ,34.978056,-95.361111,0,N,N,1/16/2021
Carlton,Carlton Brush 2,Brush Pile, ,34.978333,-95.363333,0,N,N,1/16/2021
Cedar Lake,Cedar BR 4,Spider Blocks,Super spider,34.77862,-94.69592,0,N,N,2/23/2021
Cedar Lake,Cedar BR 3,Combination,Super spider and brush,34.77857,-94.69726,0,N,Y,2/23/2021
Cedar Lake,Cedar BR 5,Combination,Super spider and brush,34.78268,-94.69458,0,N,Y,2/23/2021
Cedar Lake,Cedar BR 6,Combination,Super spider,34.78276,-94.69385,0,Y,Y,2/23/2021
Cedar Lake,Cedar BR 2,Spider Blocks,Super spider,34.77882,-94.70067,0,N,N,2/23/2021
Cedar Lake,Cedar BR 1,Combination,Super Spider and brush,34.77869,-94.69943,0,Y,Y,2/23/2021
Chambers,East Side of Lake,Brush Pile, ,36.7245,-100.215267,3,N,Y,<Null>
Chambers,West End (Bridge),Brush Pile, ,36.718,-100.215,3,N,Y,<Null>
Chambers,East End (Bridge),Brush Pile, ,36.718,-100.214,3,N,Y,<Null>
Chambers,West Side of Lake,Brush Pile, ,36.7251,-100.21375,4,N,Y,<Null>
Chambers,West Side of Lake,Brush Pile, ,36.728133,-100.2145,4,N,Y,<Null>
Chambers,South Side of Lake,Brush Pile, ,36.721,-100.217,4,N,Y,<Null>
Chambers,Dam Area (East Side),Brush Pile, ,36.719667,-100.213933,5,N,Y,<Null>
Chambers,Dam,Brush Pile, ,36.727517,-100.213433,5,N,Y,<Null>
Chambers,West Side of Lake,Brush Pile, ,36.7251,-100.216767,6,N,Y,<Null>
Chambers,Jetti South of boat ramp,Brush Pile,cedar trees,36.728333,-100.214167,6,Y,Y,12/9/2015
Chambers,Dam,Brush Pile,cedar trees,36.729167,-100.212222,12,Y,Y,12/9/2015
Chambers,Jetti east side,Brush Pile,cedar trees,36.727222,-100.210556,6,Y,Y,12/9/2015
Chambers,stick ups west cove,Brush Pile,cedar trees,36.726389,-100.213611,10,Y,N,12/9/2015
Chickasha,Cellar Point #3,Brush Pile, ,35.14144,-98.14891,8,Y, ,<Null>
Chickasha,Northeast of Boat Ramp,Brush Pile, ,35.14922,-98.12899,8,Y, ,<Null>
Chickasha,Fish House,Brush Pile, ,35.13357,-98.12806,10,Y, ,<Null>
Chickasha,West End of Dam,Brush Pile, ,35.13193,-98.13883,10,Y,Y,<Null>
Chickasha,Caddo Point #2,Brush Pile, ,35.13749,-98.14415,10,Y, ,<Null>
Chimney Rock Lake,North Site,Brush Pile, ,36.25526,-95.09335,0,Y,Y,<Null>
Chimney Rock Lake,North Site 2,Brush Pile, ,36.25836,-95.09109,0,Y,N,<Null>
Chimney Rock Lake,BLK1,Combination,Spider blocks/spawning bench/geoweb,36.249427,-95.082957,0,N, ,1/1/2006
Chimney Rock Lake,BLK2,Combination,Spider blocks/spawning bench/geoweb,36.246091,-95.108222,0,N, ,1/1/2006
Chimney Rock Lake,BLK3,Combination,Spider blocks/spawning bench/geoweb,36.241882,-95.105864,0,N, ,1/1/2006
Chimney Rock Lake,BLK4,Combination,Spider blocks/spawning bench,36.233621,-95.099523,0,N, ,1/1/2006
Chimney Rock Lake,BLK5,Combination,Spider blocks/spawning bench/geoweb,36.249323,-95.096572,0,N, ,1/1/2006
Church,Church BR 6,Tire Reefs, ,34.878333,-95.339722,10,N,N,2/28/2019
Church,Church Brush 1,Brush Pile, ,34.87838,-95.33477,6,Y,Y,2/27/2019
Church,Church Brush 2,Brush Pile, ,34.877785,-95.331497,14,Y,N,2/27/2019
Church,Church Brush 3,Brush Pile, ,34.87516,-95.34173,10,N,N,2/27/2019
Church,Church Brush 4,Brush Pile, ,34.87833,-95.33972,17,N,N,2/27/2019
Church,Church Brush 5,Brush Pile, ,34.88168,-95.33571,17,Y,N,2/27/2019
Clayton,Clayton BR 2,Brush Pile, ,34.539722,-95.312778,0,Y,N,1/1/2020
Clayton Lake,Clatyton BR 1,Brush Pile,brush,34.537658,-95.3104,0,Y,N,12/30/2019
Clayton Lake,Clayton BR 3,Brush Pile,brush,34.541509,-95.308526,0,Y,Y,12/30/2019
Coon Creek Lake,Coon CK BR 2,Brush Pile,brush,34.97621,-95.34748,11.5,Y,N,1/15/2021
Crystal Beach,Jetties north of bridge,Brush Pile,cedar trees,36.424722,-99.3725,6,Y,Y,3/17/2016
Crystal Beach,Along bridge south side,Brush Pile,cedar trees,36.423056,-99.373056,6,N,Y,3/17/2016
Dead Warrior,Black Kettle National Grassland,Spider Blocks,2'-4' pvc pipe,35.745733,-99.717925,17,N,y,4/13/2016
Dead Warrior,Black Kettle National Grassland,Spider Blocks,2'-4' pvc pipe,35.746533,-99.716386,12,N,N,4/12/2016
Dead Warrior,Black Kettle National Grassland,Spider Blocks,2'-4' pvc pipe,35.746419,-99.717556,18,N,Y,4/11/2016
Dead Warrior,Black Kettle National Grassland,Spider Blocks,2'-4' pvc pipe,35.747489,-99.717553,14,N,Y,4/10/2016
Dead Warrior,Black Kettle National Grassland,Spider Blocks,2'-4' pvc pipe,35.749564,-99.720481,8,N,Y,4/9/2016
Doc Hollis,Fishing Dock,Spider Blocks,22 small spider blocks,34.990142,-99.791106,5,N,Y,8/8/2022
Doc Hollis,na,Brush Pile,cedars,34.992639,-99.791025,8,N,Y,3/17/2022
Doc Hollis,na,Brush Pile,cedars,34.991631,-99.795139,5,N,Y,3/17/2022
Doc Hollis,na,Brush Pile,cedars,34.991816,-99.794796,5,N,Y,3/17/2022
Doc Hollis,na,Brush Pile,cedars,34.991658,-99.795555,3,N,Y,3/17/2022
Doc Hollis,na,Brush Pile,cedars,34.992029,-99.795708,3,N,Y,3/17/2022
Doc Hollis,na,Brush Pile,cedars,34.992442,-99.796273,3,N,Y,3/17/2022
Doc Hollis,na,Brush Pile,cedar-row of 8 cedar trees,34.993063,-99.795649,5,N,Y,3/17/2022
Doc Hollis,na,Brush Pile,cedars,34.99307,-99.790991,6,N,Y,3/17/2022
Doc Hollis,na,Brush Pile,cedars,34.993291,-99.79064,8,N,Y,3/17/2022
Doc Hollis,na,Brush Pile,cedars,34.991524,-99.79443,4,N,Y,3/17/2022
